n_gen	99_mu	37_mu	60_mu	114_mu	18_mu	-1_mu	73_mu	-5_mu	-4_mu	-3_mu	-2_mu	99_sig	37_sig	60_sig	114_sig	18_sig	-1_sig	73_sig	-5_sig	-4_sig	-3_sig	-2_sig	node.brow_mean	node.current_brow_mean_ln_prior_density	ln_posterior	
138000	49.775927	48.572760	48.745925	49.010293	47.567225	50.398362	50.919651	51.864679	50.919651	47.567225	47.567225	1.525303	2.383406	1.867729	2.155978	1.817054	1.504718	1.756727	2.155978	1.756727	1.817054	1.817054	18.092710	-1.515946	-10.634279	
140000	49.011646	48.860488	50.074187	47.376460	49.826821	50.398362	50.750898	50.089081	50.750898	48.822044	51.577509	1.931931	1.883825	2.495772	2.031368	1.734615	1.504718	1.419927	1.946999	1.419927	1.734615	1.769645	16.496938	-1.045474	-4.163502	
142000	47.687365	50.486734	50.066743	50.121277	49.516665	50.398362	50.179227	49.725372	52.761708	48.523421	51.577509	2.007274	2.028654	1.560054	2.695014	2.721247	1.504718	2.324851	2.007274	1.560054	2.028654	1.769645	16.689832	-0.967041	-7.664349	
144000	49.442212	50.155637	49.143396	51.018607	48.533279	50.097312	51.944558	51.564826	49.301317	49.031795	50.097312	2.260073	1.902521	1.875907	1.971671	1.738541	1.936535	1.489026	2.696276	1.786169	2.036877	1.936535	19.514975	-4.081489	-5.212246	
146000	49.509609	49.266332	50.517173	50.221469	50.205969	51.718057	49.011601	49.371742	50.044869	50.004432	51.818501	2.073414	2.192924	1.720456	1.846748	2.401248	1.943190	1.888041	2.073414	1.468632	2.401248	2.401248	17.425298	-1.009378	-7.238050	
148000	50.428833	50.377174	49.788244	49.725655	50.642549	51.718057	51.043753	49.683701	50.253732	50.124339	51.407422	1.609557	2.323600	1.894214	1.952131	1.876297	1.943190	2.395126	1.952131	2.419398	2.623985	1.799705	16.981618	-0.919107	-5.322134	
150000	48.525556	49.624689	47.869451	50.198393	51.150119	51.068505	48.052520	48.757474	47.880893	51.150119	48.633725	1.895936	1.881611	1.777124	2.183042	1.866769	1.918560	1.658206	2.247576	1.777124	1.866769	2.032090	17.988693	-1.407696	-9.773376	
152000	49.367773	48.161282	50.838902	49.424884	50.771925	51.068505	51.489859	49.424884	50.876572	48.466490	48.633725	2.078424	1.800089	1.765035	1.885460	1.753309	1.918560	1.676386	1.885460	1.875588	2.156401	2.032090	15.995890	-1.423057	-6.856485	
154000	52.111371	48.661099	49.649656	50.896620	49.113892	51.068505	48.768001	50.276818	49.281333	49.248496	49.812617	2.270481	2.361266	2.151827	2.022187	1.929941	1.918560	1.784453	2.344900	1.939765	2.194065	1.971743	16.737712	-0.953336	-4.179859	
156000	51.302511	50.303891	50.231844	48.057019	48.758571	51.068505	50.821833	48.057019	50.350702	48.428203	51.036305	1.656462	1.886225	1.944599	1.945281	2.140286	1.918560	2.287403	1.945281	2.341588	2.140286	1.564280	17.086729	-0.922699	-7.499093	
158000	51.574319	50.483351	51.266646	49.553049	49.279252	51.068505	51.120993	51.574319	49.424389	51.806793	51.036305	2.000936	1.868145	2.033839	2.350820	1.826557	1.918560	2.060185	2.000936	2.012183	1.903660	1.564280	17.378382	-0.990525	-6.589827	
160000	49.308501	50.548995	51.024063	53.418452	49.683232	51.068505	50.510232	49.308501	50.378980	49.683232	51.036305	2.065832	1.550547	1.928001	1.830516	1.704971	1.918560	1.933756	2.288773	1.578537	1.823591	1.564280	18.607495	-2.210958	-7.193710	
162000	49.884002	47.001079	51.415946	51.381659	48.121343	51.068505	50.448920	49.884002	49.506188	49.153372	49.153372	2.196513	2.376424	1.894631	2.206713	2.032138	1.918560	2.576142	2.196513	2.031743	2.477951	2.477951	17.659678	-1.136526	-5.722270	
164000	50.965016	51.663361	49.390640	50.081302	51.416803	51.068505	51.731968	49.746393	50.075440	49.123941	50.539812	1.974036	2.003023	2.417020	1.685171	2.959217	1.918560	1.804492	1.679045	1.830973	2.397454	2.230519	17.621620	-1.112144	-3.805928	
166000	49.031308	49.503451	50.293981	50.185775	49.414292	51.068505	51.235162	47.901106	49.474997	49.503451	50.539812	2.242464	1.812862	1.969336	1.983649	1.680507	1.918560	1.922539	2.133090	1.995512	2.240300	2.230519	16.900126	-0.923926	-7.736892	
168000	50.820958	49.887140	49.793657	50.150955	50.277343	51.068505	52.200078	50.820958	49.793657	50.494793	51.245195	2.049406	1.643270	2.226977	2.379769	1.792507	1.918560	1.829753	2.049406	2.226977	1.643270	1.954232	16.097158	-1.326500	-5.095889	
170000	49.330771	46.954485	49.034670	49.750448	50.548868	51.068505	48.577809	49.750448	48.899788	50.500715	51.245195	1.730280	2.180155	1.497468	2.014583	2.372947	1.918560	1.958513	2.014583	2.382018	2.493379	1.954232	15.436035	-2.141932	-9.309567	
172000	48.928095	49.868809	49.034670	49.404541	49.795795	49.414931	48.577809	50.531841	50.120183	49.862915	49.414931	2.144441	2.429771	1.497468	2.449771	1.498421	1.921011	1.958513	2.168209	1.921011	2.446516	1.921011	17.771181	-1.216299	-3.103909	
174000	50.178337	49.923480	50.941908	48.947765	49.102927	49.414931	49.535863	49.350211	49.595127	49.841253	49.414931	1.643364	2.207641	1.725443	1.904865	1.904523	1.921011	1.771910	1.790148	1.673062	2.449487	1.921011	15.458341	-2.107295	-6.294762	
176000	50.500029	52.212416	49.960876	49.507344	48.952864	49.414931	49.903392	48.374137	50.700647	50.058762	49.414931	1.953812	2.055258	2.186081	2.128102	2.472270	1.921011	1.870539	1.263897	2.186081	2.055258	1.921011	16.841700	-0.931468	-7.361258	
178000	48.829932	50.937201	49.710870	48.788745	51.628153	49.414931	51.042102	48.073739	51.042102	49.678519	50.547670	1.952985	2.439725	2.837290	1.505075	1.640179	1.921011	2.283976	1.625689	2.283976	1.934886	1.937913	16.019547	-1.399582	-6.019653	
180000	49.435994	48.938367	50.310892	50.559025	50.113094	49.414931	48.949400	48.920882	50.244014	49.146072	48.509608	2.417942	1.668850	2.139321	2.114862	2.471259	1.921011	2.242717	1.828070	2.204175	2.420707	2.018632	16.756516	-0.948581	-5.769087	
182000	49.121030	51.907063	49.739496	47.966716	51.120852	49.414931	50.725068	49.308499	47.827843	51.120852	49.987330	2.185988	2.028128	2.587945	1.998264	2.075190	1.921011	1.982893	2.228421	2.551246	2.075190	2.411155	15.754798	-1.694202	-10.610133	
184000	48.570405	50.501020	48.118656	50.645249	51.424192	49.945754	48.739337	50.664197	49.257904	50.901336	49.800939	2.218944	2.569296	1.978984	2.240551	2.287641	1.588862	2.382819	2.240551	2.574663	2.569296	1.588862	15.919181	-1.503023	-12.537855	
186000	52.954571	51.376240	49.381886	52.085157	50.006265	48.663937	50.944937	49.119054	51.543016	50.241871	51.992513	1.562210	1.788200	1.817916	2.596789	2.147906	2.151877	1.655788	2.154447	1.897402	2.012961	1.853448	17.023197	-0.919208	-1.637752	
188000	49.524844	51.933325	49.683131	48.646314	51.431784	49.121329	51.201167	49.773424	51.372058	51.955665	48.420257	2.150700	1.679500	2.200078	1.937685	1.798691	1.968794	2.184344	1.968794	2.218537	1.804329	2.429355	18.864756	-2.657595	-7.476216	
